Game_Name, Game_Tag,Rank, Price
Utawarerumono: Prelude to the Fallen,Turn-Based Tactics  Visual Novel  Anime  Story Rich,1,39.2
Home Behind 2,Strategy  Adventure  RPG  Indie,2,13.05
DesktopMMD3:Miss Fish,Anime  JRPG  Cartoony  Comic Book,3,4.25
Mad Games Tycoon 2,Early Access  Economy  Management  Game Development,4,19.8
Don't Cheat On Me,Action  Simulation  Casual  Multiplayer,5,7.65
SuchArt: Creative Space,Simulation  Realistic  Singleplayer  Funny,6,0
Ocean's Heart,Character Action Game  Action RPG  Pixel Graphics  Action-Adventure,7,14.5
Phoenotopia: Awakening,Adventure  Action  Platformer  Metroidvania,8,16.65
ENDER LILIES: Quietus of the Knights,Metroidvania  Souls-like  Dark Fantasy  Female Protagonist,9,18.5
Dyson Sphere Program,Space  Automation  Simulation  Open World,10,16.65
Lamp Chronicle,Early Access  Metroidvania  Souls-like  Platformer,11,13.05
Skul: The Hero Slayer,Indie  Action  Action Roguelike  Pixel Graphics,12,14.8
Neon,Casual  Action  Puzzle  Arcade,13,5.4
CosmicBreak Universal,Early Access  Massively Multiplayer  0  RPG,14,0
CALL OF LDPR,Shooter  Adventure  Comedy  Open World,15,10
The Adventure of NAYU,Casual  Indie  Clicker  2D,16,2.76
Samurai Cat,Cats  Puzzle  Board Game  Cute,17,0.88
The Space in Between,Adventure  Casual  Experimental  Interactive Fiction,18,0
Frame of Mind,3D Platformer  Puzzle Platformer  Platformer  Exploration,19,0
EVERSPACE™ 2,Space  Looter Shooter  Flight  Space Sim,20,38
Trikaya,Casual  Puzzle  Exploration  Adventure,21,0
Puzzle Box Palace,Indie  Adventure  Puzzle  0,22,0
Reach the Summit,Casual  2D Platformer  Survival  2D,23,0.66
Gloom and Doom,Choose Your Own Adventure  Fantasy  Horror  Casual,24,16.65
Dragon Call,Roguelike Deckbuilder  Card Battler  Strategy  Indie,25,6
??,Horror  2D Platformer  Puzzle Platformer  RPG,26,6
????? Moon Fall,RPG  Sexual Content  Indie  Simulation,27,14.5
Fujiwara Bittersweet,Indie  Visual Novel  Otome  Story Rich,28,0
TurnTack,Puzzle Platformer  Atmospheric  Indie  Adventure,29,14.5
Wizards,Early Access  0  Strategy  Casual,30,0
hexceed,0  Casual  Puzzle  Relaxing,31,0
Smoked Gun,Casual  Adventure  Simulation  Shooter,32,0.66
Figment 2: Creed Valley - Prologue,Action-Adventure  Action  Hand-drawn  2.5D,33,0
EQI,First-Person  Exploration  Action  Puzzle,34,0
BasCatball Jupiter: Basketball & Cat,Puzzle  Casual  Basketball  Mars,35,2.6
Farmer's Life: Prologue,Farming Sim  Simulation  Trading  Singleplayer,36,0
Candy Disaster - Tower Defense,Tower Defense  Strategy  Adventure  Funny,37,15.72
Knights College,Visual Novel  Choose Your Own Adventure  LGBTQ+  Story Rich,38,19.8
Diving Disorder-???,Interactive Fiction  2D  Adventure  First-Person,39,2.27
Project Morpheus: Prologue,Adventure  Strategy  RPG  Action,40,0
YUME,Sexual Content  Strategy  Puzzle  Exploration,41,3.25
Ancient Abyss,Early Access  Hack and Slash  Roguelike  Action RPG,42,14.5
Kore,Adventure  Mythology  Stealth  Atmospheric,43,0
Farm Manager 2021: Prologue,Strategy  Simulation  Casual  Building,44,0
Dungeon and Puzzles,Sokoban  Puzzle  Difficult  Logic,45,8.5
Sunlight,Adventure  Experimental  Walking Simulator  3D,46,4.25
Cloud Climber,Casual  Adventure  Indie  0,47,0
Down in Bermuda,Adventure  Casual  Indie  Puzzle,48,18.5
Word Game: Episode 0,Adventure  Strategy  RPG  Interactive Fiction,49,0
Lotus Reverie: First Nexus,Visual Novel  Anime  Time Management  Mystery,50,15
Purplis Sandbox,Simulation  Sandbox  Building  2D,51,5.25
Gemini Strategy Origin,Sexual Content  Nudity  Tactical RPG  NSFW,52,5.25
Skellboy Refractured,Adventure  Indie  2.5D  Family Friendly,53,18.5
Object N,FPS  Shooter  Horror  3D,54,0
Cinderella Phenomenon: Evermore,Visual Novel  Casual  Fantasy  Romance,55,10
Town Of The Dead Life ????,Adventure  Strategy  RPG  Indie,56,6.5
ROG CITADEL XV,Adventure  Action  Action RPG  Action-Adventure,57,0
Yaga,RPG  Hack and Slash  Funny  Atmospheric,58,24.99
Heroes of the Three Kingdoms 8,Strategy  Historical  RPG  Simulation,59,38
????,RPG  Indie  Cyberpunk  Story Rich,60,8.5
Desktop Honey,Casual  Simulation  Tabletop  Dating Sim,61,1.1
???-Singing Iris,RPG  Adventure  Indie  Nudity,62,5.25
Don´t Spill,Puzzle  Casual  Resource Management  Medieval,63,2.15
The Call Of Paper Plane,Adventure  Casual  Action-Adventure  Clicker,64,4.25
Arnold,Early Access  Action  Puzzle  Experimental,65,9
Sakura MMO Extra,Visual Novel  Anime  Simulation  Romance,66,10
100 hidden cupcakes,Casual  Adventure  Puzzle  Hidden Object,67,1.1
Kemono Mahjong,Casual  Tabletop  Board Game  Card Game,68,5.25
Club Girl,Casual  Simulation  Rhythm  3D,69,1.1
Grow Defense,Casual  Idler  Tower Defense  Indie,70,0
Acolyte: Prologue,Adventure  Experimental  Interactive Fiction  Visual Novel,71,2.15
Neon Parkour,Casual  Parkour  2D Platformer  Puzzle,72,3.25
?? ????,Simulation  Dating Sim  Visual Novel  Cute,73,0
6 Seasons and a Game,Arena Shooter  FPS  Satire  Casual,74,3.25
Pocket Watch,Adventure  Indie  Puzzle  Singleplayer,75,
Mambo Wave,Action  Casual  Platformer  2D Platformer,76,2.15
Alien X,2D Platformer  Survival  Space  Platformer,77,1.1
Critters for Sale: SNAKE,Adventure  Visual Novel  Point & Click  Psychological Horror,78,0
The Labyrinth,Adventure  RPG  Dungeon Crawler  Turn-Based,79,5.25
Luck be a Landlord,Roguelike Deckbuilder  Simulation  Strategy  Roguelite,80,10
Hike,Adventure  Relaxing  Nature  Casual,81,3.25
Hero by Chance,Sexual Content  Nudity  Hentai  Strategy,82,2.15
A Little Shop in Squirrel Town,Early Access  Simulation  Trading  Economy,83,10
Endless Voyage / ????,Strategy  RPG  Card Game  Adventure,84,18
????,Sexual Content  Nudity  Mature  NSFW,85,13
Iron Conflict,Early Access  Multiplayer  War  MOBA,86,14.5
Kasi,Casual  Simulation  Building  Management,87,5.25
True Mining Simulator,Simulation  Indie  Early Access  Mining,88,5
Lost Existence,Action  Indie  Adventure  RPG,89,0
Press Any Button,Emotional  Story Rich  Interactive Fiction  Game Development,90,0
Elon's Dream 2,Casual  Side Scroller  Flight  Exploration,91,2.15
Street Cleaner: The Video Game,Action  Indie  Platformer  2D,92,14.5
