,CPU FREQUENCY,MANUFACTURER,OS,MAR,APR,MAY,JUN,JUL,% CHANGE
0,3.3 Ghz to 3.69 Ghz,INTEL,WINDOWS,20.23%,20.18%,19.98%,20.62%,21.58%, +0.96%
1,2.3 Ghz to 2.69 Ghz,INTEL,WINDOWS,16.34%,16.93%,16.53%,16.31%,15.43%, -0.88%
2,2.7 Ghz to 2.99 Ghz,INTEL,WINDOWS,13.53%,12.73%,12.73%,12.68%,12.52%, -0.16%
3,3.0 Ghz to 3.29 Ghz,INTEL,WINDOWS,12.81%,11.86%,11.99%,11.57%,11.52%, -0.05%
4,3.7 Ghz and above,INTEL,WINDOWS,5.21%,5.31%,5.13%,5.15%,5.19%, +0.04%
5,2.0 Ghz to 2.29 Ghz,INTEL,WINDOWS,5.18%,5.36%,5.22%,4.95%,4.67%, -0.28%
6,1.7 Ghz to 1.99 Ghz,INTEL,WINDOWS,4.08%,4.28%,4.28%,4.00%,3.82%, -0.18%
7,1.5 Ghz to 1.69 Ghz,INTEL,WINDOWS,0.85%,0.91%,0.92%,0.82%,0.76%, -0.06%
8,Below 1.4 Ghz,INTEL,WINDOWS,0.47%,0.52%,0.56%,0.55%,0.54%, -0.01%
9,1.4 Ghz to 1.49 Ghz,INTEL,WINDOWS,0.16%,0.19%,0.20%,0.20%,0.22%, +0.02%
10,3.3 Ghz to 3.69 Ghz,AMD,WINDOWS,10.30%,10.36%,10.76%,11.30%,11.77%, +0.47%
11,3.7 Ghz and above,AMD,WINDOWS,3.93%,4.15%,4.31%,4.48%,4.62%, +0.14%
12,3.0 Ghz to 3.29 Ghz,AMD,WINDOWS,3.32%,3.29%,3.36%,3.38%,3.33%, -0.05%
13,2.0 Ghz to 2.29 Ghz,AMD,WINDOWS,1.12%,1.26%,1.35%,1.41%,1.45%, +0.04%
14,2.7 Ghz to 2.99 Ghz,AMD,WINDOWS,0.78%,0.81%,0.81%,0.85%,0.90%, +0.05%
15,2.3 Ghz to 2.69 Ghz,AMD,WINDOWS,0.70%,0.76%,0.79%,0.75%,0.74%, -0.01%
16,1.7 Ghz to 1.99 Ghz,AMD,WINDOWS,0.76%,0.83%,0.83%,0.75%,0.72%, -0.03%
17,1.4 Ghz to 1.49 Ghz,AMD,WINDOWS,0.09%,0.10%,0.09%,0.09%,0.08%, -0.01%
18,Below 1.4 Ghz,AMD,WINDOWS,0.08%,0.09%,0.09%,0.08%,0.07%, -0.01%
19,1.5 Ghz to 1.69 Ghz,AMD,WINDOWS,0.07%,0.08%,0.07%,0.07%,0.07%, 0.00%
20,2.3 Ghz to 2.69 Ghz,INTEL,OSX,31.06%,31.54%,31.54%,31.45%,31.62%, +0.17%
21,2.7 Ghz to 2.99 Ghz,INTEL,OSX,17.83%,17.94%,17.56%,16.97%,16.66%, -0.31%
