,GPU NAME,MAR,APR,MAY,JUN,JUL,% CHANGE
0, NVIDIA GeForce GTX 1060,12.67%,12.01%,11.80%,11.73%,11.64%, -0.09%
1, NVIDIA GeForce GTX 1050 Ti,8.81%,8.48%,8.22%,8.34%,8.28%, -0.06%
2, NVIDIA GeForce GTX 1050,5.42%,5.42%,5.31%,5.31%,5.24%, -0.07%
3, NVIDIA GeForce GTX 1070,4.23%,4.22%,4.13%,4.05%,4.06%, +0.01%
4, NVIDIA GeForce GTX 1650,2.37%,2.50%,2.60%,2.99%,3.16%, +0.17%
5, NVIDIA GeForce GTX 1660 Ti,2.48%,2.55%,2.51%,2.71%,2.68%, -0.03%
6, NVIDIA GeForce RTX 2060,2.71%,2.31%,2.38%,2.53%,2.56%, +0.03%
7, NVIDIA GeForce GTX 1080,2.59%,2.54%,2.52%,2.48%,2.45%, -0.03%
8, AMD Radeon RX 580,1.95%,1.94%,2.03%,2.06%,2.16%, +0.10%
9, NVIDIA GeForce GTX 970,2.12%,2.19%,2.09%,2.04%,1.97%, -0.07%
10, NVIDIA GeForce RTX 2070,2.01%,1.79%,1.81%,1.85%,1.89%, +0.04%
11, NVIDIA GeForce RTX 2070 SUPER,1.21%,1.25%,1.40%,1.60%,1.84%, +0.24%
12, NVIDIA GeForce GTX 1660,1.46%,1.40%,1.51%,1.64%,1.72%, +0.08%
13, NVIDIA GeForce GTX 750 Ti,1.60%,1.52%,1.48%,1.51%,1.64%, +0.13%
14, NVIDIA GeForce GTX 960,1.73%,1.77%,1.71%,1.62%,1.58%, -0.04%
15, NVIDIA GeForce GTX 1080 Ti,1.58%,1.63%,1.60%,1.58%,1.57%, -0.01%
16, AMD Radeon RX 570,1.13%,1.19%,1.26%,1.34%,1.45%, +0.11%
17, NVIDIA GeForce GTX 1660 SUPER,0.44%,0.59%,0.71%,0.94%,1.18%, +0.24%
18, NVIDIA GeForce RTX 2060 SUPER,0.75%,0.75%,0.81%,0.97%,1.09%, +0.12%
19, Intel UHD Graphics 620,1.05%,1.12%,1.18%,1.11%,1.08%, -0.03%
20, NVIDIA GeForce GTX 1070 Ti,1.25%,1.16%,1.12%,1.10%,1.08%, -0.02%
21, NVIDIA GeForce GTX 960M,1.28%,1.28%,1.19%,1.12%,1.02%, -0.10%
22, NVIDIA GeForce RTX 2080,1.05%,1.00%,0.99%,0.98%,0.99%, +0.01%
23, NVIDIA GeForce RTX 2080 Ti,0.76%,0.81%,0.83%,0.89%,0.91%, +0.02%
24, Intel HD Graphics 620,0.89%,0.96%,0.98%,0.91%,0.89%, -0.02%
25, NVIDIA GeForce 940M,1.03%,1.07%,1.01%,0.95%,0.87%, -0.08%
26, AMD Radeon RX 5700 XT,0.52%,0.61%,0.67%,0.74%,0.81%, +0.07%
27, AMD Radeon Vega 8 Graphics,0.55%,0.58%,0.60%,0.68%,0.73%, +0.05%
28, NVIDIA GeForce RTX 2080 SUPER,0.54%,0.49%,0.58%,0.64%,0.71%, +0.07%
29, Intel HD Graphics 4000,0.76%,0.82%,0.86%,0.75%,0.71%, -0.04%
30, NVIDIA GeForce GT 730,0.69%,0.67%,0.65%,0.65%,0.66%, +0.01%
31, Intel HD Graphics 520,0.67%,0.69%,0.72%,0.66%,0.64%, -0.02%
32, Intel Haswell,0.69%,0.72%,0.74%,0.68%,0.63%, -0.05%
33, NVIDIA GeForce MX150,0.72%,0.73%,0.68%,0.66%,0.63%, -0.03%
34, NVIDIA GeForce GT 1030,0.58%,0.58%,0.58%,0.60%,0.62%, +0.02%
35, NVIDIA GeForce GTX 950M,0.76%,0.77%,0.72%,0.67%,0.61%, -0.06%
36, NVIDIA GeForce GTX 950,0.56%,0.55%,0.55%,0.53%,0.50%, -0.03%
37, AMD Radeon R7 Graphics,0.51%,0.44%,0.46%,0.54%,0.50%, -0.04%
38, Intel UHD Graphics 630,0.51%,0.50%,0.51%,0.49%,0.50%, +0.01%
39, AMD Radeon RX 480,0.52%,0.53%,0.51%,0.49%,0.49%, 0.00%
40, AMD Radeon R5 Graphics,0.53%,0.52%,0.55%,0.53%,0.48%, -0.05%
41, NVIDIA GeForce GT 720M,0.56%,0.59%,0.58%,0.51%,0.48%, -0.03%
42, Intel HD Graphics 5500,0.48%,0.52%,0.53%,0.48%,0.45%, -0.03%
43, NVIDIA GeForce GTX 750,0.46%,0.45%,0.44%,0.43%,0.45%, +0.02%
44, Intel HD Graphics 4600,0.44%,0.47%,0.48%,0.45%,0.44%, -0.01%
45, AMD Radeon RX 560,0.39%,0.41%,0.42%,0.43%,0.44%, +0.01%
46, Intel HD Graphics 3000,0.45%,0.50%,0.51%,0.44%,0.42%, -0.02%
47, NVIDIA GeForce GTX 980,0.42%,0.42%,0.42%,0.41%,0.40%, -0.01%
48, AMD Radeon RX 590 Series,0.42%,0.41%,0.42%,0.41%,0.40%, -0.01%
49, NVIDIA GeForce GTX 760,0.47%,0.47%,0.45%,0.42%,0.39%, -0.03%
50, Intel Ivy Bridge,0.39%,0.43%,0.43%,0.41%,0.39%, -0.02%
51, NVIDIA GeForce GTX 650,0.40%,0.40%,0.39%,0.38%,0.37%, -0.01%
52, Intel HD Graphics 630,0.43%,0.41%,0.42%,0.39%,0.37%, -0.02%
53, NVIDIA GeForce GTX 980 Ti,0.40%,0.39%,0.39%,0.39%,0.37%, -0.02%
54, NVIDIA Graphics Device,-,-,0.17%,0.26%,0.37%, +0.11%
55, NVIDIA GeForce MX250,0.34%,0.34%,0.34%,0.36%,0.36%, 0.00%
56, NVIDIA GeForce GTX 660,0.40%,0.40%,0.38%,0.37%,0.35%, -0.02%
57, NVIDIA GeForce GTX 1650 SUPER,-,-,0.19%,0.26%,0.34%, +0.08%
58, AMD Radeon RX 470,0.30%,0.31%,0.31%,0.32%,0.34%, +0.02%
59, NVIDIA GeForce GT 710,0.30%,0.31%,0.33%,0.33%,0.33%, 0.00%
60, NVIDIA GeForce 920M,0.38%,0.40%,0.39%,0.35%,0.31%, -0.04%
61, AMD Radeon RX Vega,0.32%,0.33%,0.32%,0.32%,0.31%, -0.01%
62, AMD Radeon RX 550,0.29%,0.28%,0.30%,0.30%,0.31%, +0.01%
63, AMD Radeon RX 580 2048SP,0.27%,0.30%,0.27%,0.31%,0.30%, -0.01%
64, AMD Radeon RX 460,0.32%,0.32%,0.31%,0.30%,0.29%, -0.01%
65, NVIDIA GeForce 840M,0.34%,0.35%,0.34%,0.31%,0.28%, -0.03%
66, NVIDIA GeForce MX130,0.26%,0.30%,0.30%,0.28%,0.27%, -0.01%
67, Intel HD Graphics 530,0.28%,0.28%,0.28%,0.26%,0.26%, 0.00%
68, NVIDIA GeForce MX110,0.24%,0.28%,0.28%,0.27%,0.26%, -0.01%
69, NVIDIA GeForce GTX 970M,0.29%,0.30%,0.29%,0.27%,0.26%, -0.01%
70, NVIDIA GeForce GT 630,0.28%,0.28%,0.27%,0.26%,0.25%, -0.01%
71, NVIDIA GeForce 920MX,0.29%,0.31%,0.31%,0.27%,0.25%, -0.02%
72, Intel Valleyview Baytrail,0.28%,0.30%,0.30%,0.27%,0.25%, -0.02%
73, AMD Radeon RX 5700,0.20%,0.21%,0.22%,0.24%,0.24%, 0.00%
74, AMD Radeon Vega 3 Graphics,0.18%,0.18%,0.22%,0.24%,0.24%, 0.00%
75, AMD Radeon HD 7700 Series,0.26%,0.27%,0.26%,0.24%,0.24%, 0.00%
76, AMD Radeon HD 7900 Series,0.28%,0.28%,0.28%,0.25%,0.24%, -0.01%
77, Intel Cherryview Cherrytrail,0.26%,0.27%,0.29%,0.25%,0.23%, -0.02%
78, AMD Radeon RX Vega 11 Graphics,0.22%,0.21%,0.22%,0.22%,0.23%, +0.01%
79, NVIDIA GeForce GTX 770,0.25%,0.26%,0.25%,0.23%,0.22%, -0.01%
80, Intel Sandy Bridge,0.22%,0.22%,0.24%,0.22%,0.22%, 0.00%
81, AMD Radeon R5 M330,0.24%,0.26%,0.25%,0.22%,0.22%, 0.00%
82, AMD Radeon HD 8800 Series,0.25%,0.24%,0.24%,0.23%,0.22%, -0.01%
83, AMD Radeon R7 300 Series,0.25%,0.23%,0.24%,0.21%,0.21%, 0.00%
84, AMD Radeon R9 380 Series,0.23%,0.23%,0.22%,0.21%,0.20%, -0.01%
85, NVIDIA GeForce GTX 550 Ti,0.23%,0.23%,0.23%,0.21%,0.20%, -0.01%
86, NVIDIA GeForce GTX 860M,0.23%,0.24%,0.23%,0.21%,0.20%, -0.01%
87, NVIDIA GeForce GT 740M,0.22%,0.24%,0.23%,0.21%,0.19%, -0.02%
88, AMD Radeon HD 8500 Series,0.21%,0.21%,0.20%,0.20%,0.19%, -0.01%
89, NVIDIA GeForce 940MX,0.22%,0.23%,0.23%,0.20%,0.18%, -0.02%
90, AMD Radeon Vega 8 Mobile Graphics,0.19%,0.20%,0.19%,0.18%,0.18%, 0.00%
91, AMD Radeon R4 Graphics,0.19%,0.21%,0.21%,0.19%,0.18%, -0.01%
92, AMD Radeon HD 7800 Series,0.21%,0.20%,0.19%,0.18%,0.17%, -0.01%
93, Intel UHD Graphics,-,-,-,-,0.17%, +0.17%
94, NVIDIA GeForce GTS 450,0.16%,0.18%,0.18%,0.17%,0.16%, -0.01%
95, AMD Radeon R9 390 Series,0.17%,0.17%,0.17%,0.16%,0.15%, -0.01%
96, Intel HD Graphics 4400,0.15%,0.15%,0.15%,0.16%,0.15%, -0.01%
97,Other,9.60%,9.96%,9.92%,9.54%,9.89%, +0.35%
