,GPU NAME,DIRECTX,MAR,APR,MAY,JUN,JUL,% CHANGE
0, NVIDIA GeForce GTX 1060,DIRECTX 12 GPUS,13.06%,12.42%,12.25%,12.20%,12.13%, -0.07%
1, NVIDIA GeForce GTX 1050 Ti,DIRECTX 12 GPUS,9.09%,8.77%,8.52%,8.66%,8.63%, -0.03%
2, NVIDIA GeForce GTX 1050,DIRECTX 12 GPUS,5.59%,5.60%,5.50%,5.51%,5.46%, -0.05%
3, NVIDIA GeForce GTX 1070,DIRECTX 12 GPUS,4.37%,4.37%,4.30%,4.23%,4.25%, +0.02%
4, NVIDIA GeForce GTX 1650,DIRECTX 12 GPUS,2.44%,2.58%,2.69%,3.10%,3.29%, +0.19%
5, NVIDIA GeForce GTX 1660 Ti,DIRECTX 12 GPUS,2.55%,2.63%,2.59%,2.81%,2.78%, -0.03%
6, NVIDIA GeForce RTX 2060,DIRECTX 12 GPUS,2.79%,2.39%,2.47%,2.63%,2.67%, +0.04%
7, NVIDIA GeForce GTX 1080,DIRECTX 12 GPUS,2.68%,2.63%,2.62%,2.59%,2.56%, -0.03%
8, AMD Radeon RX 580,DIRECTX 12 GPUS,2.02%,2.01%,2.11%,2.14%,2.25%, +0.11%
9, NVIDIA GeForce GTX 970,DIRECTX 12 GPUS,2.20%,2.28%,2.19%,2.14%,2.06%, -0.08%
10, NVIDIA GeForce RTX 2070,DIRECTX 12 GPUS,2.07%,1.85%,1.87%,1.92%,1.97%, +0.05%
11, NVIDIA GeForce RTX 2070 SUPER,DIRECTX 12 GPUS,1.25%,1.29%,1.46%,1.66%,1.92%, +0.26%
12, NVIDIA GeForce GTX 1660,DIRECTX 12 GPUS,1.50%,1.44%,1.56%,1.70%,1.78%, +0.08%
13, NVIDIA GeForce GTX 750 Ti,DIRECTX 12 GPUS,1.66%,1.58%,1.54%,1.57%,1.71%, +0.14%
14, NVIDIA GeForce GTX 960,DIRECTX 12 GPUS,1.79%,1.84%,1.78%,1.69%,1.65%, -0.04%
15, NVIDIA GeForce GTX 1080 Ti,DIRECTX 12 GPUS,1.64%,1.69%,1.66%,1.64%,1.65%, +0.01%
16, AMD Radeon RX 570,DIRECTX 12 GPUS,1.16%,1.22%,1.30%,1.39%,1.50%, +0.11%
17, NVIDIA GeForce GTX 1660 SUPER,DIRECTX 12 GPUS,0.45%,0.61%,0.73%,0.97%,1.23%, +0.26%
18, Intel UHD Graphics 620,DIRECTX 12 GPUS,1.13%,1.21%,1.27%,1.20%,1.17%, -0.03%
19, NVIDIA GeForce RTX 2060 SUPER,DIRECTX 12 GPUS,0.77%,0.77%,0.84%,1.00%,1.13%, +0.13%
20, NVIDIA GeForce GTX 1070 Ti,DIRECTX 12 GPUS,1.29%,1.20%,1.16%,1.15%,1.13%, -0.02%
21, NVIDIA GeForce GTX 960M,DIRECTX 12 GPUS,1.31%,1.32%,1.23%,1.16%,1.06%, -0.10%
22, NVIDIA GeForce RTX 2080,DIRECTX 12 GPUS,1.09%,1.03%,1.03%,1.02%,1.03%, +0.01%
23, NVIDIA GeForce RTX 2080 Ti,DIRECTX 12 GPUS,0.78%,0.84%,0.86%,0.92%,0.95%, +0.03%
